1946_1	1946_1	To the Congress of the United States:  
1946_286	1946_286	Production is the only fully effective answer. To get the wheels turning, I  have appointed an emergency housing expediter. I have approved  establishment of priorities designed to assure an ample share of scarce  materials to builders of houses for which veterans will have preference.  Additional price and wage adjustments will be made where necessary, and  other steps will be taken to stimulate greater production of bottleneck  items. I recommend consideration of every sound method for expansion in  facilities for insurance of privately financed housing by the Federal  Housing Administration and resumption of previously authorized low_rent  public housing projects suspended during the war.  
1946_289	1946_289	These principles place paramount the fact that housing construction and  financing for the overwhelming majority of our citizens should be done by  private enterprise. They contemplate also that we afford governmental  encouragement to privately financed house construction for families of  moderate income, through extension of the successful system of insurance of  housing investment; that research be undertaken to develop better and  cheaper methods of building homes; that communities be assisted in  appraising their housing needs; that we commence a program of Federal aid,  with fair local participation, to stimulate and promote the rebuilding and  redevelopment of slums and blighted areas with maximum use of private  capital. It is equally essential that we use public funds to assist  families of low income who could not otherwise enjoy adequate housing, and  that we quicken our rate of progress in rural housing.  
1946_290	1946_290	Legislation now under consideration by the Congress provides for a  comprehensive attack jointly by private enterprise, State and local  authorities, and the Federal Government. This legislation would make  permanent the National Housing Agency and give it authority and funds for  much needed technical and economic research. It would provide additional  stimulus for privately financed housing construction. This stimulus  consists of establishing a new system of yield insurance to encourage  large_scale investment in rental housing and broadening the insuring powers  of the Federal Housing Administration and the lending powers of the Federal  savings and loan associations.  
1946_292	1946_292	Prompt enactment of permanent housing legislation along these lines will  not interfere with the emergency action already under way. On the contrary,  it would lift us out of a potentially perpetual state of housing emergency.  It would offer the best hope and prospect to millions of veterans and other  American families that the American system can offer more to them than  temporary makeshifts.  
1946_294	1946_294	(j) Social security and health.  
1946_295	1946_295	Our Social Security System has just celebrated its tenth anniversary.  During the past decade this program has supported the welfare and morale of  a large part of our people by removing some of the hazards and hardships of  the aged, the unemployed, and widows and dependent children.  
1946_296	1946_296	But, looking back over 10 years' experience and ahead to the future, we  cannot fail to see defects and serious inadequacies in our system as it now  exists. Benefits are in many cases inadequate; a great many persons are  excluded from coverage; and provision has not been made for social  insurance to cover the cost of medical care and the earnings lost by the  sick and the disabled.  
1946_298	1946_298	We must take urgent measures for the readjustment period ahead. The  Congress for some time has been considering legislation designed to  supplement at Federal expense, during the immediate reconversion period,  compensation payments to the unemployed. Again I urge the Congress to enact  legislation liberalizing unemployment compensation benefits and extending  the coverage. Providing for the sustained consumption by the unemployed  persons and their families is more than a welfare policy; it is sound  economic policy. A sustained high level of consumer purchases is a basic  ingredient of a prosperous economy.  
1946_300	1946_300	The comprehensive health program which I recommended on November 19, 1945,  will require substantial additions to the Social Security System and, in  conjunction with other changes that need to be made, will require further  consideration of the financial basis for social security. The system of  prepaid medical care which I have recommended is expected eventually to  require amounts equivalent to 4 percent of earnings up to $3,600 a year,  which is about the average of present expenditures by individuals for  medical care. The pooling of medical costs, under a plan which permits each  individual to make a free choice of doctor and hospital, would assure that  individuals receive adequate treatment and hospitalization when they are  faced with emergencies for which they cannot budget individually. In  addition, I recommended insurance benefits to replace part of the earnings  lost through temporary sickness and permanent disability.  
1946_304	1946_304	In the future we expect incomes considerably higher than before the war.  Higher incomes should make it possible for State and local governments and  for individuals to support higher and more nearly adequate expenditures for  education. But inequality among the States will still remain, and Federal  help will still be needed.  
1946_307	1946_307	(l) Federal Government personnel.  
1946_309	1946_309	At the same time that we have curtailed the number of employees, we have  shortened the workweek by one_sixth or more throughout the Government and  have restored holidays. The process of readjustment has been complicated  and costs have been increased by a heavy turn_over in the remaining  personnel particularly by the loss of some of our best administrators.  Thousands of war veterans have been reinstated or newly employed in the  civil service. Many civilians have been transferred from war agencies to  their former peacetime agencies. Recruitment standards, which had to be  relaxed during the war, are now being tightened.  
1946_319	1946_319	SUMMARY OF THE BUDGET  
1946_321	1946_321	Expenditures of all kinds, authorized and recommended, in the next year are  estimated at just above 35.8 billion dollars. Net receipts are estimated at  31.5 billion dollars. The estimated difference of 4.3 billion dollars will  be met by a reduction in the very substantial balance which will be in the  Treasury during the next fiscal year.  
1946_323	1946_323	To elaborate, the Budget, as I have remarked above, reflects on both sides  of the ledger the Government's program as recommended by the Executive. It  includes estimates not only of expenditures and receipts for which  legislative authority already exists, but also of expenditures and receipts  for which authorization is recommended.  
1946_331	1946_331	1940 9,252  
1946_332	1946_332	Although allowances for occupation, demobilization, and defense are  drastically reduced in the fiscal year 1947, they will still amount to 42  percent of the total Budget. The so_called "aftermath of war" expenditures  account for a further 30 percent of the total. The total of all other  programs, which was drastically cut during the war, is increasing again as  liquidation of the war program proceeds and renewed emphasis is placed on  the peacetime objectives of the Government.  
1946_334	1946_334	As a result, estimated expenditures will exceed estimated receipts by 4.3  billion dollars. This amount can be provided by a reduction in the cash  balance in the Treasury. Thus, after a long period of increasing public  debt resulting from depression budgets and war budgets, it is anticipated  that no increase in the Federal debt will be required next year.  
1946_337	1946_337	Fiscal year  
1946_338	1946_338	Expenditures: 1946 1947  
1946_339	1946_339	Defense, war, and war liquidation $49,000 $15,000  
1946_342	1946_342	Other activities 4,552 5,813  
1946_345	1946_345	Total expenditures 67, 229 35, 860  
1946_346	1946_346	Receipts (net) 38, 60931,513  
1946_348	1946_348	The current fiscal year, 1946, is a year of transition. When the year  opened, in July 1945, we were still fighting a major war, and Federal  expenditures were running at an annual rate of about 100 billion dollars.  By June 1946 that rate will be more than cut in half. The Budget total for  the current fiscal year is now estimated at 67.2 billion dollars, of which  more than two_thirds provides for war and war liquidation. Since net  receipts are estimated at 38.6 billion dollars, there will be an excess of  expenditures of 28.6 billion dollars for the current fiscal year.  
1946_351	1946_351	Similarly, only over_all estimates are provided for new programs  recommended in this Message; detailed recommendations will be transmitted  after authorizing legislation has been enacted. It should be recognized  that many of the estimates for new programs recommended in this Message are  initial year figures. These figures will be affected by the date the  legislation is enacted and by the time needed for getting a program under  way. New programs, such as that for a national research agency, will  require larger amounts in later years. The estimates exclude major elements  of the proposed national health program since the greater part of these  will be covered by expenditures from trust funds.  
1946_359	1946_359	The wartime annual rate of Federal expenditures has been reduced by 32  billion dollars, while the Nation's budget total has dropped only half as  much. The drop in total value of production and services has been less  drastic because increasing private activities have absorbed in large  measure the manpower and materials released from war production and war  services.  
1946_364	1946_364	Oct._Dec. 1945 (start of  
1946_368	1946_368	Excess Excess  
1946_370	1946_370	Economic Group Receipts tures icit(_) Receipts tures icit(_) CONSUMERS  
1946_372	1946_372	Expenditures ......$98............$107 .......  
1946_373	1946_373	Excess of receipts, savings (+) ...... ...... +$35 ...... ...... +$25  BUSINESS  
1946_379	1946_379	Excess of receipts (+) or capital  
1946_381	1946_381	STATE AND LOCAL GOVERNMENT  
1946_384	1946_384	Payments to the public ...... $8............$9......  
1946_388	1946_388	than borrowing $48 ...... ....... $44 ...... ......  
1946_396	1946_396	1 Excludes exports for lend_lease and relief which are included in Federal  Government expenditures.  
1946_397	1946_397	2 Mainly government expenditures for other than goods and services, such as  mustering_out pay and unemployment compensation.  
1946_399	1946_399	In general, the drastic cut in war programs has thrown the economy into  lower gear; it has not thrown it out of gear. Our economic machine  demonstrates remarkable resiliency, although there are many difficulties  that must still be overcome. The rapid termination of war contracts, prompt  clearance of unneeded Government_owned equipment from private plants, and  other reconversion policies have greatly speeded up the beginning of  peacetime work in reconverted plants.  
1946_401	1946_401	The Quarterly Report of the Director of War Mobilization and Reconversion  analyzes the difficulties in recruiting personnel and obtaining materials  that hamper reconversion in certain industries and proposes policies to  deal with these situations. The lack of adequate housing is one of the main  factors checking the flow of workers into areas where job opportunities  exist.  
1946_412	1946_412	Moreover, inflationary pressures still appear dangerously powerful, and  ill_advised tax reduction would operate to strengthen them still further.  
1946_413	1946_413	My decision not to recommend additional tax reductions at this time is made  in the light of existing economic conditions and prospects.  
1946_419	1946_419	Budget ex_           _  
1946_420	1946_420	penditures Public Cash bal_  
1946_427	1946_427	Although the public debt is expected to decline, a substantial volume of  refinancing will be required, because of the large volume of maturing  obligations. Redemptions of savings bonds also have been running high in  recent months and are expected to remain large for some time. The issuance  of savings bonds will be continued. These bonds represent a convenient  method of investment for small savers, and also an anti_inflationary method  of refinancing. Government agencies and trust funds are expected to buy  about 2.5 billion dollars of Government securities during the next 6  months, and 2.8 billion dollars more during the fiscal year 1947. Through  these and other debt operations, the distribution of the Federal debt among  the various types of public and private owners will change, even though the  total is expected to decline.  
1946_436	1946_436	(a) War expenditures.  
1946_452	1946_452	During the war, authorizations and appropriations had to be enacted well in  advance of obligation and spending to afford ample time for planning of  production by the procurement services and by industry. Thus our cumulative  war program authorized in the period between July 1, 1940, and July 1,  1945, was 431 billion dollars, including net war commitments of Government  corporations. Expenditures against those authorizations totaled 290 billion  dollars. This left 141 billion dollars in unobligated authorizations and  unliquidated obligations.  
1946_453	1946_453	With the end of fighting, it became necessary to adjust war authorizations  to the requirements of war liquidation and continuing national defense.  Intensive review of the war authorizations by both the executive and the  legislative branches has been continued since VJ_day. As a result, the  authorized war program is being brought more nearly into line with  expenditures.  
1946_454	1946_454	Recisions and authorizations through the fiscal year 1946. Readjusting the  war program, as the Congress well knows, is not an easy task.  Authorizations must not be too tight, lest we hamper necessary operations;  they must not be too ample, lest we lose control of spending. Last  September, I transmitted to the Congress recommendations on the basis of  which the Congress voted H.R. 4407 to repeal 50.3 billion dollars of  appropriations and authorizations. I found it necessary to veto this bill  because it was used as a vehicle for legislation that would impair the  reemployment program. However, in order to preserve the fine work of the  Congress on the recisions, I asked the Director of the Bureau of the Budget  to place the exact amounts indicated for repeal in a nonexpendable reserve,  and to advise the departments and agencies accordingly. This has been  done.  
1946_455	1946_455	In accord with Public Law 132 of the Seventy_ninth Congress, I have  transmitted recommendations for additional rescissions for the current  fiscal year of appropriations amounting to 5.8 billion dollars and of  contract authorizations totaling 420 million dollars. The net reduction in  authority to obligate will be 5.0 billion dollars, because, of the  appropriations, 1.2 billion dollars will have to be restored in subsequent  years to liquidate contract authorizations still on the books.  
1946_456	1946_456	The appropriations recommended for repeal include 2,827 million dollars for  the Navy Department, 1,421 million dollars for the War Department, 850  million dollars for lend_lease, 384 million dollars for the War Shipping  Administration, and 260 million dollars for the United States Maritime  Commission. The contract authorizations proposed for repeal are for the  Maritime Commission.  
1946_459	1946_459	On the other hand, supplemental appropriations of 600 million dollars will  be required for the United Nations Relief and Rehabilitation  Administration.  
1946_460	1946_460	In the net, it is estimated that the cumulative authorized war and national  defense program will amount to 368 billion dollars on June 30, 1946.  Expenditures of 49 billion dollars during the fiscal year 1946 will have  pushed cumulative expenditures to 339 billion dollars. The unexpended  balances will be down to 28 billion dollars on June 30, 1946.  
1946_470	1946_470	"Veterans' pensions and benefits" has become one of the largest single  categories in the Federal Budget. I am recommending for this purpose total  appropriations of 4,787 million dollars for the fiscal year 1947.  Expenditures in the fiscal year are estimated, under present legislation,  at 4,208 million dollars. These expenditures will help our veterans through  their readjustment period and provide lasting care for those who were  disabled.  
1946_471	1946_471	The Congress has provided unemployment allowances for veterans during their  readjustment period. Expenditure of 850 million dollars for this purpose is  anticipated for the fiscal year 1947. In addition, readjustment allowances  for self_employed veterans are expected to cost 340 million dollars in the  fiscal year 1947.  
1946_472	1946_472	On May 28, 1945, in asking the Congress to raise the ceiling on benefits  for civilian unemployed to not less than 25 dollars a week during the  immediate reconversion period, I suggested that the Congress also consider  liberalizing veterans' allowances. Elsewhere in this Message I reiterate my  recommendation with respect to emergency unemployment compensation. I also  recommend increasing veterans' unemployment allowances from 20 dollars to  25 dollars a week. This would involve additional expenditures estimated at  approximately 220 million dollars for the fiscal year.  
