1946_1	1946_1	To the Congress of the United States:  
1946_286	1946_286	Production is the only fully effective answer. To get the wheels turning, I  have appointed an emergency housing expediter. I have approved  establishment of priorities designed to assure an ample share of scarce  materials to builders of houses for which veterans will have preference.  Additional price and wage adjustments will be made where necessary, and  other steps will be taken to stimulate greater production of bottleneck  items. I recommend consideration of every sound method for expansion in  facilities for insurance of privately financed housing by the Federal  Housing Administration and resumption of previously authorized low_rent  public housing projects suspended during the war.  
1946_289	1946_289	These principles place paramount the fact that housing construction and  financing for the overwhelming majority of our citizens should be done by  private enterprise. They contemplate also that we afford governmental  encouragement to privately financed house construction for families of  moderate income, through extension of the successful system of insurance of  housing investment; that research be undertaken to develop better and  cheaper methods of building homes; that communities be assisted in  appraising their housing needs; that we commence a program of Federal aid,  with fair local participation, to stimulate and promote the rebuilding and  redevelopment of slums and blighted areas with maximum use of private  capital. It is equally essential that we use public funds to assist  families of low income who could not otherwise enjoy adequate housing, and  that we quicken our rate of progress in rural housing.  
1946_290	1946_290	Legislation now under consideration by the Congress provides for a  comprehensive attack jointly by private enterprise, State and local  authorities, and the Federal Government. This legislation would make  permanent the National Housing Agency and give it authority and funds for  much needed technical and economic research. It would provide additional  stimulus for privately financed housing construction. This stimulus  consists of establishing a new system of yield insurance to encourage  large_scale investment in rental housing and broadening the insuring powers  of the Federal Housing Administration and the lending powers of the Federal  savings and loan associations.  
1946_292	1946_292	Prompt enactment of permanent housing legislation along these lines will  not interfere with the emergency action already under way. On the contrary,  it would lift us out of a potentially perpetual state of housing emergency.  It would offer the best hope and prospect to millions of veterans and other  American families that the American system can offer more to them than  temporary makeshifts.  
1946_294	1946_294	(j) Social security and health.  
1946_295	1946_295	Our Social Security System has just celebrated its tenth anniversary.  During the past decade this program has supported the welfare and morale of  a large part of our people by removing some of the hazards and hardships of  the aged, the unemployed, and widows and dependent children.  
1946_296	1946_296	But, looking back over 10 years' experience and ahead to the future, we  cannot fail to see defects and serious inadequacies in our system as it now  exists. Benefits are in many cases inadequate; a great many persons are  excluded from coverage; and provision has not been made for social  insurance to cover the cost of medical care and the earnings lost by the  sick and the disabled.  
1946_298	1946_298	We must take urgent measures for the readjustment period ahead. The  Congress for some time has been considering legislation designed to  supplement at Federal expense, during the immediate reconversion period,  compensation payments to the unemployed. Again I urge the Congress to enact  legislation liberalizing unemployment compensation benefits and extending  the coverage. Providing for the sustained consumption by the unemployed  persons and their families is more than a welfare policy; it is sound  economic policy. A sustained high level of consumer purchases is a basic  ingredient of a prosperous economy.  
1946_300	1946_300	The comprehensive health program which I recommended on November 19, 1945,  will require substantial additions to the Social Security System and, in  conjunction with other changes that need to be made, will require further  consideration of the financial basis for social security. The system of  prepaid medical care which I have recommended is expected eventually to  require amounts equivalent to 4 percent of earnings up to $3,600 a year,  which is about the average of present expenditures by individuals for  medical care. The pooling of medical costs, under a plan which permits each  individual to make a free choice of doctor and hospital, would assure that  individuals receive adequate treatment and hospitalization when they are  faced with emergencies for which they cannot budget individually. In  addition, I recommended insurance benefits to replace part of the earnings  lost through temporary sickness and permanent disability.  
1946_304	1946_304	In the future we expect incomes considerably higher than before the war.  Higher incomes should make it possible for State and local governments and  for individuals to support higher and more nearly adequate expenditures for  education. But inequality among the States will still remain, and Federal  help will still be needed.  
1946_307	1946_307	(l) Federal Government personnel.  
1946_309	1946_309	At the same time that we have curtailed the number of employees, we have  shortened the workweek by one_sixth or more throughout the Government and  have restored holidays. The process of readjustment has been complicated  and costs have been increased by a heavy turn_over in the remaining  personnel particularly by the loss of some of our best administrators.  Thousands of war veterans have been reinstated or newly employed in the  civil service. Many civilians have been transferred from war agencies to  their former peacetime agencies. Recruitment standards, which had to be  relaxed during the war, are now being tightened.  
1946_319	1946_319	SUMMARY OF THE BUDGET  
1946_321	1946_321	Expenditures of all kinds, authorized and recommended, in the next year are  estimated at just above 35.8 billion dollars. Net receipts are estimated at  31.5 billion dollars. The estimated difference of 4.3 billion dollars will  be met by a reduction in the very substantial balance which will be in the  Treasury during the next fiscal year.  
1946_323	1946_323	To elaborate, the Budget, as I have remarked above, reflects on both sides  of the ledger the Government's program as recommended by the Executive. It  includes estimates not only of expenditures and receipts for which  legislative authority already exists, but also of expenditures and receipts  for which authorization is recommended.  
1946_331	1946_331	1940 9,252  
